id,n_a,n_b,n_gold,明细数量,仲裁结果
286,13,16,11,11,"[{""label"":""食材"",""text"":""白盐""},{""label"":""食材"",""text"":""葱""},{""label"":""食材"",""text"":""韭""},{""label"":""食材"",""text"":""子母蔗""},{""label"":""食材"",""text"":""龙须莱""},{""label"":""食材"",""text"":""瓮莱""},{""label"":""烹饪方法"",""text"":""捣""},{""label"":""烹饪方法"",""text"":""炼熟""},{""label"":""烹饪方法"",""text"":""泼""},{""label"":""病症"",""text"":""百毒""},{""label"":""医家"",""text"":""余杭寿禅师""}]"
287,11,12,12,12,"[{""label"":""食材"",""text"":""莲""},{""label"":""食材"",""text"":""鲫鱼肉""},{""label"":""食材"",""text"":""鲤鱼子""},{""label"":""食材"",""text"":""碧箭""},{""label"":""食材"",""text"":""菊苗""},{""label"":""食材"",""text"":""鱼""},{""label"":""食疗方"",""text"":""莲花饼馅""},{""label"":""食疗方"",""text"":""缕子脍""},{""label"":""食疗方"",""text"":""自然羹""},{""label"":""医家"",""text"":""郭进""},{""label"":""医家"",""text"":""宋龟""},{""label"":""古籍来源"",""text"":""瓜蔬疏""}]"
288,9,0,9,9,"[{""label"":""食材"",""text"":""乌贼""},{""label"":""食材"",""text"":""墨鱼""},{""label"":""食材"",""text"":""鸟贼骨""},{""label"":""食材"",""text"":""海鲧蛸""},{""label"":""功效"",""text"":""治目""},{""label"":""病症"",""text"":""目""},{""label"":""医家"",""text"":""甘盘""},{""label"":""医家"",""text"":""元介卿""},{""label"":""古籍来源"",""text"":""元介卿""}]"
289,44,30,29,29,"[{""label"":""食材"",""text"":""鱼白""},{""label"":""食材"",""text"":""鲤鱼""},{""label"":""食材"",""text"":""黄鱼""},{""label"":""食材"",""text"":""羊胃""},{""label"":""食材"",""text"":""鱼""},{""label"":""食材"",""text"":""羊肉""},{""label"":""食材"",""text"":""乳""},{""label"":""食材"",""text"":""丁子香""},{""label"":""食材"",""text"":""葱""},{""label"":""食材"",""text"":""醋""},{""label"":""食材"",""text"":""吴兴鲤鱼""},{""label"":""食材"",""text"":""彘""},{""label"":""食材"",""text"":""夹心肉""},{""label"":""烹饪方法"",""text"":""拌""},{""label"":""烹饪方法"",""text"":""烹制""},{""label"":""烹饪方法"",""text"":""酿制""},{""label"":""烹饪方法"",""text"":""淋""},{""label"":""烹饪方法"",""text"":""腌制""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""剁碎""},{""label"":""食疗方"",""text"":""凤凰胎""},{""label"":""食疗方"",""text"":""羊皮花丝""},{""label"":""食疗方"",""text"":""逡巡酱""},{""label"":""食疗方"",""text"":""乳酿鱼""},{""label"":""食疗方"",""text"":""丁子香淋脍""},{""label"":""食疗方"",""text"":""葱醋鸡""},{""label"":""食疗方"",""text"":""吴兴连带鲱""},{""label"":""食疗方"",""text"":""西江料""},{""label"":""古籍来源"",""text"":""腊别""}]"
290,28,34,29,29,"[{""label"":""食材"",""text"":""酱""},{""label"":""食材"",""text"":""醋""},{""label"":""食材"",""text"":""醍醐""},{""label"":""食材"",""text"":""盾沆""},{""label"":""食材"",""text"":""野驼蹄""},{""label"":""食材"",""text"":""鹿唇""},{""label"":""食材"",""text"":""驼乳糜""},{""label"":""食材"",""text"":""天鹅炙""},{""label"":""食材"",""text"":""紫玉浆""},{""label"":""食材"",""text"":""玄玉浆""},{""label"":""食材"",""text"":""马奶子""},{""label"":""食材"",""text"":""龙肝""},{""label"":""食材"",""text"":""凤髓""},{""label"":""食材"",""text"":""豹胎""},{""label"":""食材"",""text"":""鲤尾""},{""label"":""食材"",""text"":""鹗炙""},{""label"":""食材"",""text"":""猩唇""},{""label"":""食材"",""text"":""熊掌""},{""label"":""食材"",""text"":""酥酪蝉""},{""label"":""古籍来源"",""text"":""周礼 .夭官.膳夫""},{""label"":""古籍来源"",""text"":""辍耕录""},{""label"":""医家"",""text"":""郑玄""},{""label"":""医家"",""text"":""陶宗仪""},{""label"":""烹饪方法"",""text"":""熬""},{""label"":""烹饪方法"",""text"":""炮""},{""label"":""烹饪方法"",""text"":""捣""},{""label"":""烹饪方法"",""text"":""溃""},{""label"":""禁忌"",""text"":""恶酱为厨司大耗""},{""label"":""禁忌"",""text"":""恶醋为小耗""}]"
291,13,10,10,10,"[{""label"":""食材"",""text"":""双弓米""},{""label"":""食材"",""text"":""糜""},{""label"":""食材"",""text"":""麦穗生""},{""label"":""食材"",""text"":""卷子生""},{""label"":""食材"",""text"":""肥崭""},{""label"":""食材"",""text"":""散竹""},{""label"":""医家"",""text"":""单公洁""},{""label"":""医家"",""text"":""萧琏""},{""label"":""古籍来源"",""text"":""虞惊""},{""label"":""古籍来源"",""text"":""谢讽""}]"
292,47,28,41,41,"[{""label"":""食材"",""text"":""鹑子""},{""label"":""食材"",""text"":""羊""},{""label"":""食材"",""text"":""豕""},{""label"":""食材"",""text"":""牛""},{""label"":""食材"",""text"":""熊""},{""label"":""食材"",""text"":""鹿""},{""label"":""食材"",""text"":""羊肉""},{""label"":""食材"",""text"":""肠脏""},{""label"":""食材"",""text"":""豆英""},{""label"":""食材"",""text"":""驴肉""},{""label"":""食材"",""text"":""牛犊肉""},{""label"":""食材"",""text"":""豆粉""},{""label"":""食材"",""text"":""网油""},{""label"":""食材"",""text"":""肘肉""},{""label"":""烹饪方法"",""text"":""烤""},{""label"":""烹饪方法"",""text"":""煎炸""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""清炖""},{""label"":""烹饪方法"",""text"":""细切""},{""label"":""烹饪方法"",""text"":""裹""},{""label"":""烹饪方法"",""text"":""炙""},{""label"":""烹饪方法"",""text"":""烹""},{""label"":""烹饪方法"",""text"":""缠裹""},{""label"":""烹饪方法"",""text"":""卷压""},{""label"":""烹饪方法"",""text"":""煮熬""},{""label"":""烹饪方法"",""text"":""切片""},{""label"":""烹饪方法"",""text"":""酿制""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""腌""},{""label"":""食疗方"",""text"":""箸头春""},{""label"":""食疗方"",""text"":""暖寒花酿酽蒸""},{""label"":""食疗方"",""text"":""水炼犊""},{""label"":""食疗方"",""text"":""五生蓝""},{""label"":""食疗方"",""text"":""格食""},{""label"":""食疗方"",""text"":""过门香""},{""label"":""食疗方"",""text"":""红罗竹""},{""label"":""食疗方"",""text"":""缠花云梦肉""},{""label"":""古籍来源"",""text"":""《开元夭宝遗事》""},{""label"":""医家"",""text"":""高诱""},{""label"":""病症"",""text"":""暖蹇""},{""label"":""病症"",""text"":""消蹇""}]"
293,17,13,10,10,"[{""label"":""食材"",""text"":""鱼""},{""label"":""食材"",""text"":""荔枝仁""},{""label"":""食材"",""text"":""脯""},{""label"":""食材"",""text"":""鲱""},{""label"":""病症"",""text"":""时疫""},{""label"":""医家"",""text"":""仇士良""},{""label"":""烹饪方法"",""text"":""罔""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""腌制""},{""label"":""烹饪方法"",""text"":""装缸发酵""}]"
295,16,0,0,0,[]
296,6,2,2,2,"[{""label"":""医家"",""text"":""胡适""},{""label"":""医家"",""text"":""释法常""}]"
298,29,1,8,8,"[{""label"":""食材"",""text"":""茶""},{""label"":""食材"",""text"":""泉水""},{""label"":""烹饪方法"",""text"":""水煎服""},{""label"":""病症"",""text"":""病冷""},{""label"":""病症"",""text"":""宿疾""},{""label"":""病症"",""text"":""病瘥""},{""label"":""医家"",""text"":""孙樵""},{""label"":""医家"",""text"":""毛文锡""}]"
299,4,0,0,0,[]
300,5,5,4,4,"[{""label"":""食材"",""text"":""韭""},{""label"":""食材"",""text"":""葱""},{""label"":""食材"",""text"":""甘草""},{""label"":""古籍来源"",""text"":""文言""}]"
301,21,0,13,13,"[{""label"":""食材"",""text"":""茶""},{""label"":""烹饪方法"",""text"":""煮汤""},{""label"":""烹饪方法"",""text"":""作汤""},{""label"":""烹饪方法"",""text"":""泛茶""},{""label"":""烹饪方法"",""text"":""燃""},{""label"":""禁忌"",""text"":""水忌停""},{""label"":""禁忌"",""text"":""薪忌薰""},{""label"":""养生原则"",""text"":""在茶家亦有法律""},{""label"":""养生原则"",""text"":""汤乖则茶殆矣""},{""label"":""养生原则"",""text"":""木体虽尽而性且浮""},{""label"":""养生原则"",""text"":""性浮则汤有终嫩之嫌""},{""label"":""养生原则"",""text"":""炭则不然,实汤之友""},{""label"":""养生原则"",""text"":""茶本灵草""}]"
302,5,0,0,0,[]
303,15,19,9,9,"[{""label"":""食材"",""text"":""韭""},{""label"":""食材"",""text"":""葱""},{""label"":""食材"",""text"":""蒜""},{""label"":""食材"",""text"":""香椿头""},{""label"":""食材"",""text"":""萝卜""},{""label"":""烹饪方法"",""text"":""切丝""},{""label"":""烹饪方法"",""text"":""拌""},{""label"":""病症"",""text"":""打嗳""},{""label"":""病症"",""text"":""秽气""}]"
304,35,25,24,24,"[{""label"":""食材"",""text"":""米饭""},{""label"":""食材"",""text"":""面食""},{""label"":""食材"",""text"":""饼子""},{""label"":""食材"",""text"":""面条""},{""label"":""食材"",""text"":""油""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""酱""},{""label"":""食材"",""text"":""醋""},{""label"":""食材"",""text"":""椒末""},{""label"":""食材"",""text"":""芝麻屑""},{""label"":""食材"",""text"":""笋""},{""label"":""食材"",""text"":""蕈""},{""label"":""食材"",""text"":""虾""},{""label"":""功效"",""text"":""养脾""},{""label"":""功效"",""text"":""补心""},{""label"":""脏腑"",""text"":""脾""},{""label"":""脏腑"",""text"":""心""},{""label"":""食疗方"",""text"":""五香面""},{""label"":""食疗方"",""text"":""八珍面""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""擀""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""搅拌""},{""label"":""古籍来源"",""text"":""本草""}]"
305,10,0,8,8,"[{""label"":""食材"",""text"":""蔬笋""},{""label"":""食材"",""text"":""虾鱼""},{""label"":""养生原则"",""text"":""重蔬食""},{""label"":""养生原则"",""text"":""崇俭约""},{""label"":""养生原则"",""text"":""尚真味""},{""label"":""养生原则"",""text"":""主清淡""},{""label"":""养生原则"",""text"":""忌油腻""},{""label"":""养生原则"",""text"":""慎杀生""}]"
306,11,0,0,0,[]
307,29,24,23,23,"[{""label"":""食材"",""text"":""鸡""},{""label"":""食材"",""text"":""鱼""},{""label"":""食材"",""text"":""虾""},{""label"":""食材"",""text"":""鲜笄""},{""label"":""食材"",""text"":""香蕈""},{""label"":""食材"",""text"":""芝麻""},{""label"":""食材"",""text"":""花椒""},{""label"":""食材"",""text"":""酱""},{""label"":""食材"",""text"":""醋""},{""label"":""食材"",""text"":""笋""},{""label"":""食材"",""text"":""藕""},{""label"":""食材"",""text"":""葛""},{""label"":""食材"",""text"":""蕨""},{""label"":""食材"",""text"":""绿豆""},{""label"":""食材"",""text"":""鸡蛋清""},{""label"":""烹饪方法"",""text"":""晒""},{""label"":""烹饪方法"",""text"":""捣""},{""label"":""烹饪方法"",""text"":""碾""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""调""},{""label"":""食疗方"",""text"":""八珍""},{""label"":""食疗方"",""text"":""五香""},{""label"":""禁忌"",""text"":""忌讳油""}]"
308,15,20,14,14,"[{""label"":""食材"",""text"":""米""},{""label"":""食材"",""text"":""粥""},{""label"":""食材"",""text"":""饭""},{""label"":""食材"",""text"":""鲜花露""},{""label"":""食材"",""text"":""香橼""},{""label"":""食材"",""text"":""桂花""},{""label"":""食材"",""text"":""玫瑰""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""熬""},{""label"":""烹饪方法"",""text"":""烧""},{""label"":""烹饪方法"",""text"":""拌匀""},{""label"":""烹饪方法"",""text"":""浇""},{""label"":""烹饪方法"",""text"":""闷""},{""label"":""养生原则"",""text"":""火候调得均匀""}]"
309,4,0,0,0,[]
311,12,10,8,8,"[{""label"":""食材"",""text"":""羊肉""},{""label"":""食材"",""text"":""人参""},{""label"":""食材"",""text"":""黄芪""},{""label"":""功效"",""text"":""补气""},{""label"":""功效"",""text"":""补形""},{""label"":""病症"",""text"":""伤脾""},{""label"":""病症"",""text"":""坏腹""},{""label"":""古籍来源"",""text"":""《本草》""}]"
312,16,17,12,12,"[{""label"":""食材"",""text"":""鱼""},{""label"":""食材"",""text"":""酱瓜""},{""label"":""食材"",""text"":""生姜""},{""label"":""食材"",""text"":""竹笋""},{""label"":""食材"",""text"":""虾""},{""label"":""食材"",""text"":""甘草""},{""label"":""食材"",""text"":""笋""},{""label"":""烹饪方法"",""text"":""烧""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""焯""},{""label"":""烹饪方法"",""text"":""醉""},{""label"":""烹饪方法"",""text"":""糟""}]"
313,6,0,0,0,[]
314,25,20,16,16,"[{""label"":""食材"",""text"":""雄鸭""},{""label"":""食材"",""text"":""雉""},{""label"":""食材"",""text"":""雁""},{""label"":""食材"",""text"":""鸠""},{""label"":""食材"",""text"":""鸽""},{""label"":""食材"",""text"":""黄雀""},{""label"":""食材"",""text"":""鹩鹑""},{""label"":""食材"",""text"":""兔""},{""label"":""食材"",""text"":""麝""},{""label"":""食材"",""text"":""鹿""},{""label"":""食材"",""text"":""熊""},{""label"":""食材"",""text"":""虎""},{""label"":""功效"",""text"":""保养身体""},{""label"":""烹饪方法"",""text"":""食""},{""label"":""烹饪方法"",""text"":""尝""},{""label"":""古籍来源"",""text"":""易.颐""}]"
315,24,15,10,10,"[{""label"":""食材"",""text"":""蔷薇""},{""label"":""食材"",""text"":""香橼""},{""label"":""食材"",""text"":""桂花""},{""label"":""食材"",""text"":""饭""},{""label"":""食材"",""text"":""羹""},{""label"":""食材"",""text"":""汤""},{""label"":""食材"",""text"":""肴馔""},{""label"":""食材"",""text"":""小莱""},{""label"":""养生原则"",""text"":""吃饭不可无羹""},{""label"":""养生原则"",""text"":""宁可食无馔,不可饭无汤""}]"
316,13,10,8,8,"[{""label"":""食材"",""text"":""米""},{""label"":""食材"",""text"":""麦""},{""label"":""食材"",""text"":""粉面""},{""label"":""功效"",""text"":""养脾""},{""label"":""功效"",""text"":""补心""},{""label"":""脏腑"",""text"":""脾""},{""label"":""脏腑"",""text"":""心""},{""label"":""古籍来源"",""text"":""《本草》""}]"
317,1,0,0,0,[]
318,49,50,44,44,"[{""label"":""食材"",""text"":""鸫肉""},{""label"":""食材"",""text"":""鹎肉""},{""label"":""食材"",""text"":""獐肉""},{""label"":""食材"",""text"":""鹿肉""},{""label"":""食材"",""text"":""猪肉""},{""label"":""食材"",""text"":""羊肉""},{""label"":""食材"",""text"":""面粉""},{""label"":""食材"",""text"":""鸡鸭蛋蛋白""},{""label"":""食材"",""text"":""蛋白""},{""label"":""食材"",""text"":""鸭蛋黄""},{""label"":""食材"",""text"":""鸡蛋黄""},{""label"":""食材"",""text"":""银朱""},{""label"":""食材"",""text"":""芦荻""},{""label"":""食材"",""text"":""白鱼""},{""label"":""食材"",""text"":""鲇鱼""},{""label"":""食材"",""text"":""鳢鱼""},{""label"":""食材"",""text"":""姜""},{""label"":""食材"",""text"":""花椒""},{""label"":""食材"",""text"":""桔皮""},{""label"":""食材"",""text"":""豆豉""},{""label"":""食材"",""text"":""油""},{""label"":""食材"",""text"":""绢""},{""label"":""烹饪方法"",""text"":""炙""},{""label"":""烹饪方法"",""text"":""烤""},{""label"":""烹饪方法"",""text"":""斫碎""},{""label"":""烹饪方法"",""text"":""炒""},{""label"":""烹饪方法"",""text"":""削""},{""label"":""烹饪方法"",""text"":""涂""},{""label"":""烹饪方法"",""text"":""刷""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""包""},{""label"":""烹饪方法"",""text"":""铺""},{""label"":""烹饪方法"",""text"":""片""},{""label"":""烹饪方法"",""text"":""割""},{""label"":""烹饪方法"",""text"":""洗""},{""label"":""烹饪方法"",""text"":""舂""},{""label"":""烹饪方法"",""text"":""和""},{""label"":""烹饪方法"",""text"":""垫""},{""label"":""食疗方"",""text"":""筒炙""},{""label"":""食疗方"",""text"":""黄炙""},{""label"":""食疗方"",""text"":""陷炙""},{""label"":""食疗方"",""text"":""饼炙""},{""label"":""禁忌"",""text"":""面多了,味酸""},{""label"":""禁忌"",""text"":""少了,环相黏""}]"
319,23,35,23,23,"[{""label"":""古籍来源"",""text"":""《食经》""},{""label"":""食材"",""text"":""豆子""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""食材"",""text"":""青茅""},{""label"":""食材"",""text"":""糯米小曲""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""豉""},{""label"":""食材"",""text"":""桑叶""},{""label"":""烹饪方法"",""text"":""晒""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""炊""},{""label"":""食材"",""text"":""芥草""},{""label"":""烹饪方法"",""text"":""簸""},{""label"":""烹饪方法"",""text"":""按""},{""label"":""食材"",""text"":""麦豉""},{""label"":""食材"",""text"":""小麦""},{""label"":""烹饪方法"",""text"":""磨""},{""label"":""烹饪方法"",""text"":""拌""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""按碎""},{""label"":""烹饪方法"",""text"":""簸扬""},{""label"":""烹饪方法"",""text"":""洒""},{""label"":""烹饪方法"",""text"":""蒸""}]"
320,14,0,0,0,[]
321,36,27,27,27,"[{""label"":""食材"",""text"":""鱼""},{""label"":""食材"",""text"":""鹅""},{""label"":""食材"",""text"":""雁""},{""label"":""食材"",""text"":""鸡""},{""label"":""食材"",""text"":""鸭""},{""label"":""食材"",""text"":""鸽""},{""label"":""食材"",""text"":""鹘""},{""label"":""食材"",""text"":""野鸭""},{""label"":""食材"",""text"":""野鸡""},{""label"":""食材"",""text"":""兔""},{""label"":""食材"",""text"":""鹌鹑""},{""label"":""食材"",""text"":""牛""},{""label"":""食材"",""text"":""羊""},{""label"":""食材"",""text"":""鲇""},{""label"":""食材"",""text"":""鳢""},{""label"":""食味"",""text"":""酸""},{""label"":""食味"",""text"":""甜""},{""label"":""烹饪方法"",""text"":""煨""},{""label"":""烹饪方法"",""text"":""捶""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""浸""},{""label"":""烹饪方法"",""text"":""烤""},{""label"":""烹饪方法"",""text"":""阴干""},{""label"":""烹饪方法"",""text"":""煮熟""},{""label"":""食疗方"",""text"":""五味脯""},{""label"":""食疗方"",""text"":""胞脯""},{""label"":""食疗方"",""text"":""挹鱼""}]"
322,21,26,15,15,"[{""label"":""食材"",""text"":""芜菁""},{""label"":""食材"",""text"":""蜀芥""},{""label"":""食材"",""text"":""黍米""},{""label"":""食材"",""text"":""麦锐""},{""label"":""食材"",""text"":""菘莱""},{""label"":""食材"",""text"":""脂麻油""},{""label"":""食材"",""text"":""干蔓菁""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""捣""},{""label"":""烹饪方法"",""text"":""烫""},{""label"":""烹饪方法"",""text"":""浸""},{""label"":""烹饪方法"",""text"":""封""},{""label"":""食疗方"",""text"":""汤菹""},{""label"":""食疗方"",""text"":""藤菹""},{""label"":""食味"",""text"":""咸""}]"
323,19,16,10,10,"[{""label"":""古籍来源"",""text"":""《食次》""},{""label"":""食材"",""text"":""糗""},{""label"":""食材"",""text"":""折米""},{""label"":""食材"",""text"":""白饮""},{""label"":""食材"",""text"":""盐""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""漉""},{""label"":""烹饪方法"",""text"":""投""},{""label"":""烹饪方法"",""text"":""淋""},{""label"":""食疗方"",""text"":""煮糗""}]"
324,38,34,31,31,"[{""label"":""食材"",""text"":""姜""},{""label"":""食材"",""text"":""肉""},{""label"":""食材"",""text"":""肾""},{""label"":""食材"",""text"":""葱""},{""label"":""食材"",""text"":""椒""},{""label"":""食材"",""text"":""梏皮""},{""label"":""食材"",""text"":""胡芹""},{""label"":""食材"",""text"":""小蒜""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""醋""},{""label"":""食材"",""text"":""猪肉""},{""label"":""食材"",""text"":""羊肉""},{""label"":""食材"",""text"":""芋""},{""label"":""食材"",""text"":""葱白""},{""label"":""食材"",""text"":""粳米""},{""label"":""食材"",""text"":""豉汁""},{""label"":""食材"",""text"":""苦酒""},{""label"":""食材"",""text"":""鸭""},{""label"":""食材"",""text"":""木兰皮""},{""label"":""食材"",""text"":""酒""},{""label"":""食材"",""text"":""鳖""},{""label"":""食材"",""text"":""豉""},{""label"":""食味"",""text"":""咸""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""细切""},{""label"":""烹饪方法"",""text"":""锻""},{""label"":""烹饪方法"",""text"":""煮熟""},{""label"":""烹饪方法"",""text"":""调和""},{""label"":""古籍来源"",""text"":""《食经》""}]"
325,35,34,23,23,"[{""label"":""食材"",""text"":""羊板油""},{""label"":""食材"",""text"":""羊肉""},{""label"":""食材"",""text"":""葱白""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""豉汁""},{""label"":""食材"",""text"":""姜""},{""label"":""食材"",""text"":""花椒末""},{""label"":""食材"",""text"":""猪肉""},{""label"":""食材"",""text"":""橘皮""},{""label"":""食材"",""text"":""酱瓜""},{""label"":""食材"",""text"":""小猪""},{""label"":""食材"",""text"":""肥鸭子肉""},{""label"":""食材"",""text"":""鱼酱汁""},{""label"":""食材"",""text"":""葱""},{""label"":""食材"",""text"":""蜜""},{""label"":""烹饪方法"",""text"":""烤""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""捣""},{""label"":""食疗方"",""text"":""牛胲炙""},{""label"":""食疗方"",""text"":""灌肠""},{""label"":""食疗方"",""text"":""跳丸炙""},{""label"":""食疗方"",""text"":""膦炙怼""},{""label"":""古籍来源"",""text"":""《食经》""}]"
326,26,0,23,23,"[{""label"":""食材"",""text"":""牛猪肉""},{""label"":""食材"",""text"":""鸡子白""},{""label"":""食材"",""text"":""藿叶""},{""label"":""食材"",""text"":""生鹅子""},{""label"":""食材"",""text"":""姜""},{""label"":""食材"",""text"":""桔""},{""label"":""食材"",""text"":""驴肉""},{""label"":""食材"",""text"":""马肉""},{""label"":""食材"",""text"":""猪肉""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""曲""},{""label"":""食材"",""text"":""麦莸""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""破""},{""label"":""烹饪方法"",""text"":""细切""},{""label"":""烹饪方法"",""text"":""和""},{""label"":""烹饪方法"",""text"":""蒸苞""},{""label"":""烹饪方法"",""text"":""斫""},{""label"":""烹饪方法"",""text"":""和匀""},{""label"":""烹饪方法"",""text"":""密封""},{""label"":""烹饪方法"",""text"":""厮""}]"
327,27,37,23,23,"[{""label"":""食材"",""text"":""醋""},{""label"":""食材"",""text"":""葵""},{""label"":""食材"",""text"":""糯米饭""},{""label"":""食材"",""text"":""小麦""},{""label"":""食材"",""text"":""白米""},{""label"":""食材"",""text"":""瓜""},{""label"":""食材"",""text"":""小瓜""},{""label"":""食材"",""text"":""豆豉""},{""label"":""食材"",""text"":""越瓜""},{""label"":""食材"",""text"":""酒糟""},{""label"":""食材"",""text"":""白冬瓜""},{""label"":""食材"",""text"":""杌皮""},{""label"":""食材"",""text"":""鸟梅""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""淹""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""筛""},{""label"":""烹饪方法"",""text"":""铺""},{""label"":""烹饪方法"",""text"":""盖""},{""label"":""古籍来源"",""text"":""《四民月令》""},{""label"":""古籍来源"",""text"":""《食经》""},{""label"":""食材"",""text"":""菘""},{""label"":""食材"",""text"":""鲱""}]"
328,27,23,23,23,"[{""label"":""食材"",""text"":""狗肉""},{""label"":""食材"",""text"":""小麦""},{""label"":""食材"",""text"":""白酒""},{""label"":""食材"",""text"":""鸡蛋""},{""label"":""食材"",""text"":""牛头""},{""label"":""食材"",""text"":""鹿头""},{""label"":""食材"",""text"":""小猪脚""},{""label"":""食材"",""text"":""猪蹄""},{""label"":""食材"",""text"":""鸡鸭蛋""},{""label"":""食材"",""text"":""姜""},{""label"":""食材"",""text"":""花椒""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""生鸭蛋""},{""label"":""食材"",""text"":""茅""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""压榨""},{""label"":""烹饪方法"",""text"":""绑""},{""label"":""烹饪方法"",""text"":""打""},{""label"":""食疗方"",""text"":""犬牒""},{""label"":""食疗方"",""text"":""苞牒""},{""label"":""古籍来源"",""text"":""《食经》""},{""label"":""古籍来源"",""text"":""《食次》""}]"
329,38,23,21,21,"[{""label"":""食材"",""text"":""猪""},{""label"":""食材"",""text"":""鸡""},{""label"":""食材"",""text"":""鸭肉""},{""label"":""食材"",""text"":""葱""},{""label"":""食材"",""text"":""姜""},{""label"":""食材"",""text"":""橘皮""},{""label"":""食材"",""text"":""胡芹""},{""label"":""食材"",""text"":""小蒜""},{""label"":""食材"",""text"":""醋""},{""label"":""食材"",""text"":""小猪""},{""label"":""食材"",""text"":""酸浆水""},{""label"":""食材"",""text"":""面粉""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""炒""},{""label"":""烹饪方法"",""text"":""烫""},{""label"":""烹饪方法"",""text"":""拔""},{""label"":""烹饪方法"",""text"":""剃""},{""label"":""烹饪方法"",""text"":""刮削""},{""label"":""烹饪方法"",""text"":""揩擦""},{""label"":""烹饪方法"",""text"":""斩""},{""label"":""烹饪方法"",""text"":""浸""}]"
330,25,23,25,25,"[{""label"":""食材"",""text"":""米""},{""label"":""食材"",""text"":""酒""},{""label"":""食材"",""text"":""姜""},{""label"":""食材"",""text"":""桂""},{""label"":""食材"",""text"":""蜜""},{""label"":""食材"",""text"":""胆""},{""label"":""食材"",""text"":""黍酒""},{""label"":""食材"",""text"":""秫酒""},{""label"":""食材"",""text"":""曲""},{""label"":""食材"",""text"":""笨曲""},{""label"":""食材"",""text"":""神曲""},{""label"":""食材"",""text"":""米粉""},{""label"":""食味"",""text"":""辛""},{""label"":""食味"",""text"":""辣""},{""label"":""食味"",""text"":""甜""},{""label"":""食味"",""text"":""苦""},{""label"":""烹饪方法"",""text"":""炊""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""捣""},{""label"":""烹饪方法"",""text"":""筛""},{""label"":""烹饪方法"",""text"":""舂""},{""label"":""烹饪方法"",""text"":""搅拌""},{""label"":""烹饪方法"",""text"":""打""},{""label"":""食疗方"",""text"":""酿礤米酎""}]"
